Title,Author,ISBN,Copies
Things fall apart,Chinua achebe,9780385474542,12
No longer at ease,Chinua achebe,9780385474559,21
Arrow of god,Chinua achebe,9780385014809,25
Half of a yellow sun,Chimamanda ngozi,9780307455925,12
Americanah,Chimamanda ngozi,9780307455925,19
Purple hibiscus,Chimamanda ngozi,9781616202415,23
The famished road,Ben okri,9780385425230,12
Stars of the new curfew,Ben okri,9780140145335,21
The secret lives of baba segi's wives,Lola shoneyin,9780062134820,13
Bluey,Voke,1234567890,12
